Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
2-Methylnaphthalene,Polycyclic Aromatic Hydrocarbons (PAHs),Pig Signaller: Par Hawaiʻi/Chevron,Petroleum leak on site. Potentially from HPOL pipeline.,Urban,1,1970-Current,Contained,Mānana,8.8 µg/L,HDOH EAL: 4.7 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.",The Site is in an industrial area that is underlain by petroleum pipelines and is alongside two roadways in an unoccupied area. The exposure pathways for the contamination are considered incomplete,NA,2023,"(PAR, 2023) Release Response Assesment: PAR Pig Signaller Vault.pdf",169,NA,157.9731873°W 21.3915818°N,NA,1970,2020
Napthalene (8260B),Polycyclic Aromatic Hydrocarbons (PAHs),Pig Signaller: Par Hawaiʻi/Chevron,Petroleum leak on site. Potentially from HPOL pipeline.,Urban,1,1970-Current,Contained,Mānana,28 µg/L,HDOH EAL: 12 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.",The Site is in an industrial area that is underlain by petroleum pipelines and is alongside two roadways in an unoccupied area. The exposure pathways for the contamination are considered incomplete,NA,2023,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/201125/download,170,NA,157.9731873°W 21.3915818°N,NA,1970,2020
Napthalene (8270C),Polycyclic Aromatic Hydrocarbons (PAHs),Pig Signaller: Par Hawaiʻi/Chevron,Petroleum leak on site. Potentially from HPOL pipeline.,Urban,1,1970-Current,Contained,Mānana,16 µg/L,HDOH EAL: 12 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.",The Site is in an industrial area that is underlain by petroleum pipelines and is alongside two roadways in an unoccupied area. The exposure pathways for the contamination are considered incomplete,NA,2023,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/201125/download,171,NA,157.9731873°W 21.3915818°N,NA,1970,2020
Arsenic,Metals,Former Chevron Reheating Station: Waiau HECO Pipeline,Continuous contamination from site use,Urban,0,1960-2011,Historic,Waiau,161 mg/kg (Bioaccessible: 42.5 mg/kg),HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater to East Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Potentially complete exposure pathways for construction workers engaged in subsurface disturbances (e.g., excavations) at the Site",Location: p.26,2022,"(Chevron, 2023) EHMP: Former Chevron Reheating Station.pdf",172,NA,157.9629636°W 21.3884450°N,NA,1960,2011
1-Methylnaphthalene,Polycyclic Aromatic Hydrocarbons (PAHs),Former Chevron Reheating Station: Waiau HECO Pipeline,Continuous contamination from site use,Urban,0,1960-2011,Historic,Waiau,0.026 mg/kg,HDOH EAL: 0.0021 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater to East Loch,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potentially complete exposure pathways for construction workers engaged in subsurface disturbances (e.g., excavations) at the Site",NA,NA,NA,173,NA,157.9629636°W 21.3884450°N,NA,1960,2011
TPH (Middle Distillates),Petroleum,Former Chevron Reheating Station: Waiau HECO Pipeline,Continuous contamination from site use,Urban,0,1960-2011,Historic,Waiau,4.05 mg/L,HDOH SWAL: 0.64 mg/L; AAHG: 2.5 mg/L,Groundwater,Groundwater,Groundwater to East Loch,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potentially complete exposure pathways for construction workers
engaged in subsurface disturbances (e.g., excavations) at the Site",NA,NA,NA,174,NA,157.9629636°W 21.3884450°N,NA,1960,2011
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),HECO Generating Station,Unit 5 PCB Cleanup Site: Hawaiian Electric Power Plant,Urban,0,1930-2002,Contained,Waiau,7.2 mg/kg,HDOH EAL: 1 mg/kg,Soil (depth not specified),Groundwater,Groundwater to East Loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.",Area was remediated and capped with concrete. No apparent exposure pathway,Location: remediation plan doc. p.,2002/2007,"Concentrations: (HECO, 2007) PCB Cleanup Email Records, Waiau Generating Station.pdf  Background on site/remediation plan: (HECO, 2002) DWP: PCB Cleanup Waiau Generating Station.pdf",175,NA,157.9624624°W 21.3878294°N,NA,1930,2002
TPH (Gasolines),Petroleum,406 Kamehameha Highway,"Former Arco Gas station, 2 USTs",Urban,0,1952-1990,Contained,Waiau,"15,000 mg/kg",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Soil (depth not specified),Pearl Harbor Aquifer,NA,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Area capped with asphalt, no apparent exposure pathway",Location image: page 27. 406 Kamehameha Highway,2014,"(EAC Pacific, 2014) Subsurface soil and GW screening for TPH 406 kam hwy.pdf",176,NA,157.9569598°W 21.3885818°N,NA,1952,1990
TPH (Gasolines),Petroleum,406 Kamehameha Highway,"Former Arco Gas station, 2 USTs",Urban,0,1952-1990,Contained,Waiau,"21,000 µg/L",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Groundwater,Pearl Harbor Aquifer,NA,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Area capped with asphalt, no apparent exposure pathway",NA,2014,NA,177,NA,157.9569598°W 21.3885818°N,NA,1952,1990
TPH (Middle Distillates),Petroleum,Kalauao Station of the Oʻahu railroad and Land Company,Various on site commercial uses,Urban,0,1890s-1940s,Historic,Kalauao,"1,064 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil (depth not specified),"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,Site map p.27,2018,"(DPPTOD, 2018) Brownfields cleanup alt. report. Kalauao Station, 98-87 Kam Hwy.pdf",179,NA,157.9477774°W 21.3826851°N,NA,1890,1940
TPH (Residual Fuels),Petroleum,Kalauao Station of the Oʻahu railroad and Land Company,Various on site commercial uses,Urban,0,1890s-1940s,Historic,Kalauao,542 mg/kg,"HDOH EAL: 500 µg/L; C/I: 1,000 µg/L",Soil (depth not specified),"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,NA,NA,NA,180,NA,157.9477774°W 21.3826851°N,NA,1890,1940
Chromium,Metals,Kalauao Station of the Oʻahu railroad and Land Company,Various on site commercial uses,Urban,0,1890s-1940s,Historic,Kalauao,22.4 µg/L,HDOH EAL: 11 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Health effects vary with route of exposure. Respiratory effects seen with inhalation, gastrointestinal with ingestion, etc.  Hematological, immunological, and reproductive systems also identified as targets for chromium. Animal studies indicate that inhalation and oral exposures to chromium(VI) compounds are associated with respiratory and gastrointestinal system cancers",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,NA,NA,NA,181,NA,157.9477774°W 21.3826851°N,NA,1890,1940
Lead,Metals,Kalauao Station of the Oʻahu railroad and Land Company,Various on site commercial uses,Urban,0,1890s-1940s,Historic,Kalauao,6.82 µg/L,HEER EAL: 5.6 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,NA,NA,NA,182,NA,157.9477774°W 21.3826851°N,NA,1890,1940
Mercury,Metals,Kalauao Station of the Oʻahu railroad and Land Company,Various on site commercial uses,Urban,0,1890s-1940s,Historic,Kalauao,0.042 µg/L,HDOH EAL: 0.025 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,NA,NA,NA,183,NA,157.9477774°W 21.3826851°N,NA,1890,1940
TPH (Gasolines),Petroleum,98-121 Līpoa Pl,Underground Storage Tank Closure Area,Urban,0,1941-2002,Historic,Kalauao,"2,400 mg/kg",HDOH EAL: 500 µg/L,Soil (depth not specified),"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human health hazards may exist for future residential and
future commercial/industrial receptors from direct contact with impacted subsurface soils",site map p.45,2012,"(Kamehameha Schools, 2012) EHMP 98-121 Lipoa Pl.pdf",184,NA,157.9462887°W 21.3818243°N,NA,1941,2002
Benzene,Volatile Organic Compounds (VOCs),98-121 Līpoa Pl,Underground Storage Tank Closure Area,Urban,0,1941-2002,Historic,Kalauao,8.58 mg/kg,HDOH EAL: 0.3 mg/kg,Soil (depth not specified),"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Potential human health hazards may exist for future residential and
future commercial/industrial receptors from direct contact with impacted subsurface soils",NA,NA,NA,185,NA,157.9462887°W 21.3818243°N,NA,1941,2002
Ethylbenzene,Volatile Organic Compounds (VOCs),98-121 Līpoa Pl,Underground Storage Tank Closure Area,Urban,0,1941-2002,Historic,Kalauao,80 mg/kg,HDOH EAL: 3.7 mg/kg,Soil (depth not specified),"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources,"Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene.","Potential human health hazards may exist for future residential and
future commercial/industrial receptors from direct contact with impacted subsurface soils",NA,NA,NA,186,NA,157.9462887°W 21.3818243°N,NA,1941,2002
TPH (Gasolines),Petroleum,98-151 Līpoa Place,Underground Storage Tank Closure Area,Urban,0,1974-1991,Historic,Kalauao,"2,120 mg/kg",HDOH EAL: 500 µg/L,Soil (depth not specified),"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",site map p.45,2013,"(Kamehameha Schools, 2012) EHMP 98-151 Lipoa Pl.pdf",187,NA,157.9450260°W 21.3805585°N,NA,1974,1991
Benzene,Volatile Organic Compounds (VOCs),98-151 Līpoa Place,Underground Storage Tank Closure Area,Urban,0,1974-1991,Contained,Kalauao,9.12 mg/kg,HDOH EAL: 0.3 mg/kg,Soil (depth not specified),"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site","Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",NA,NA,NA,188,NA,157.9450260°W 21.3805585°N,NA,1974,1991
Ethylbenzene,Volatile Organic Compounds (VOCs),98-151 Līpoa Place,Underground Storage Tank Closure Area,Urban,0,1974-1991,Contained,Kalauao,83.8 mg/kg,HDOH EAL: 3.7 mg/kg,Soil (depth not specified),"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site","Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene.","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",NA,NA,NA,189,NA,157.9450260°W 21.3805585°N,NA,1974,1991
TPH (Residual Fuels),Petroleum,Sears Auto Center,Underground Storage Tank (Waste Oil) Closure Area,Urban,0,Unknown-1993,Historic,Kalauao,"4,900 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Groundwater,Waimalu and Kalauao Streams,Risk of transport though Waimalu and Kalauao Streams,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Low human receptor risk,"Note: near Sumida farms (across the street), also note: cleanup efforts have been taking place. This may not be fully representative of current values (most recent",2012,"(URS, 2012) Semi-annual GW monitoring, Sears Auto Center 98-180 Kam Hwy.pdf",190,NA,157.9417933°W 21.3824981°N,NA,Unknown,1993
TPH (Residual Fuels),Petroleum,Pali Momi Medical Center,"Former waste oil UST, hydraulic lift area",Urban,0,Unknown-1994,Historic,Kalauao,560 mg/kg,"HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (depth not specified),Kalauao Stream & Springs,"Falls within waimalu aquifer, non drinking water","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Low human receptor risk,site map p.21,2012,"(ESI, 2012) Hydraulic Hoist Removal/Closure Assessment, 98-1005 Moanalua Rd.pdf",191,NA,157.9416715°W 21.3854199°N,NA,Unknown,1994
Chlordane,Legacy Pesticides,McGrew Point Naval Housing Area,"Oʻahu Railroad, Naval reservation, navy fuel pipeline",Urban,1,1943-2004,Contained,Kalauao,180 mg/kg,HDOH EAL: 23 mg/kg,Shallow Soil (0-3 ft.),"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues","Likely low human receptor risk, impacted soils covered and capped, however this is a residential and community area. Also right next to fish pond, potential for ingestion pathway if waterway is contaminated",site map p/ 133/134: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/821/location Navy McGrew Point Housing (ID 192-195).png,2007,"(OMC, 2007) Phase I ESA Update. McGrew Point Naval Housing.pdf",192,NA,157.9401829°W 21.3767967°N,NA,1943,2004
DDT Compounds,Legacy Pesticides,McGrew Point Naval Housing Area,"Oʻahu Railroad, Naval reservation, navy fuel pipeline",Urban,1,1943-2004,Contained,Kalauao,3.2 mg/kg,HDOH EAL: 1.8 mg/kg,Shallow Soil (0-3 ft.),"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","Likely low human receptor risk, impacted soils covered and capped, however this is a residential and community area. Also right next to fish pond, potential for ingestion pathway if waterway is contaminated",NA,NA,NA,193,NA,157.9401829°W 21.3767967°N,NA,1943,2004
Heptachlor,Legacy Pesticides,McGrew Point Naval Housing Area,"Oʻahu Railroad, Naval reservation, navy fuel pipeline",Urban,1,1943-2004,Contained,Kalauao,5.5 mg/kg,HDOH EAL: 1.3  mg/kg,Shallow Soil (0-3 ft.),"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors","Likely low human receptor risk, impacted soils covered and capped, however this is a residential and community area. Also right next to fish pond, potential for ingestion pathway if waterway is contaminated",NA,NA,NA,194,NA,157.9401829°W 21.3767967°N,NA,1943,2004
Heptachlor epoxide,Legacy Pesticides,McGrew Point Naval Housing Area,"Oʻahu Railroad, Naval reservation, navy fuel pipeline",Urban,1,1943-2004,Contained,Kalauao,7.2 mg/kg,HDOH EAL: 0.2  mg/kg,Shallow Soil (0-3 ft.),"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.","Likely low human receptor risk, impacted soils covered and capped, however this is a residential and community area. Also right next to fish pond, potential for ingestion pathway if waterway is contaminated",NA,NA,NA,195,NA,157.9401829°W 21.3767967°N,NA,1943,2004
TPH (Middle Distillates),Petroleum,Hālawa Aloha Stadium HART Station,"UST removal site, Former ʻAiea Laundry Property",Urban,0,1940s-2008,Historic,Hālawa,"4,100 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Shallow Soil (0-3 ft.),"East Loch, 'Aiea Bay","Borders East Loch, possible leaching to groundwater","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Improvements planned to cap contaminated soil, until then complete exposure pathway exists. Possible leaching to groundwater",Aloha stadium: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2827/location HART Aloha Stadium removed UST (ID 197).png,2018,"(HART, 2019) EHE, EHMP Aloha Stadium UST Removal.pdf",197,NA,157.9339350°W 21.3710764°N,NA,1940,2008
Benzene,Volatile Organic Compounds (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Underground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,7.7 mg/kg,HDOH EAL: 0.3 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",Water pump station: p. 39,2005,"(USAED, 2005) AST/UST Removal Report Former Aiea Military Reservation.pdf",198,NA,157.9337323°W 21.3750786°N,NA,1924,2005
Toluene,Volatile Organic Compounds (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Underground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,33 mg/kg,HDOH EAL: 0.78 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Additive in fuel. Most exposure effects are observed from inhalation of toluene vapor. These include CNS depression, tremors, cerebral atrophy, drowsiness, etc. Mild effects on kidneys and liver.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,199,NA,157.9337323°W 21.3750786°N,NA,1924,2005
Xylenes,Volatile Organic Compounds (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Underground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,50 mg/kg,HDOH EAL: 1.4 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,200,NA,157.9337323°W 21.3750786°N,NA,1924,2005
TPH (Gasolines),Petroleum,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Underground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,"4,100 mg/kg",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,201,NA,157.9337323°W 21.3750786°N,NA,1924,2005
Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbons (PAHs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Aboveground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,3.6 mg/kg,HDOH EAL: 3.6 mg/kg; C/I: 5.9 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Located at end of Pearl Harbor bike path, potential exposure throµgh drinking water",NA,NA,NA,202,NA,157.9337323°W 21.3750786°N,NA,1924,2005
TPH (Residual Fuels),Petroleum,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Aboveground Storage Tank Closure Area,Urban,1,1924-2005,Historic,Hālawa,690 mg/kg,"HDOH EAL: 500; C/I: 1,000 mg/kg",Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure throµgh drinking water",NA,NA,NA,203,NA,157.9337323°W 21.3750786°N,NA,1924,2005
Lead,Metals,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Ancillary Piping: AST and UST Closure Area,Urban,1,1924-2005,Historic,Hālawa,425 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,204,NA,157.9337323°W 21.3750786°N,NA,1924,2005
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Ancillary Piping: AST and UST Closure Area,Urban,1,1924-2005,Historic,Hālawa,2.8 mg/kg,HDOH EAL: 1 mg/kg; C/I: 8.6 mg/kg,Shallow Soil (0-3 ft.),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,205,NA,157.9337323°W 21.3750786°N,NA,1924,2005
TPH (Middle Distillates),Petroleum,Former ʻAiea Military Reservation,Former ʻAiea Military Reservation,Urban,1,1924-2005,Historic,Hālawa,820 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil (depth not specified),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",Site location p.21,2015,"(USACE, 2015) Remedial Action Report Former Aiea Military Reservation.pdf",206,NA,157.9334870°W 21.3755156°N,NA,1924,2005
