OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
135,171,Napthalene (8270C),Polycyclic aromatic hydrocarbon (PAHs),Pig Signaller: Par Hawaii/Chevron,Pig Signaller: Par Hawaiʻi/Chevron,Industrial ,1970-Current,Contained,Mānana,16 µg/L,HDOH EAL: 12 µg/L,Groundwater (monitoring wells 27-30 ft bgs),Groundwater,Groundwater to Waiawa stream,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.",The Site is in an industrial area that is underlain by petroleum pipelines and is alongside two roadways in an unoccupied area. The exposure pathways for the contamination are considered incomplete,,2023,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/201125/download,171,,157.9731873°W 21.3915818°N ,,-17585499.232,2438635.453
136,172,Arsenic,Heavy Metal,Former Chevron Reheating Station: Waiau HECO Pipeline,Former Chevron Reheating Station: Waiau HECO Pipeline,Industrial ,1960-2011,Historic,Waiau,161 mg/kg (Bioaccessible: 42.5 mg/kg),HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil,Groundwater,Groundwater to East Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Potentially complete exposure pathways for construction workers engaged in subsurface disturbances (e.g., excavations) at the Site",Location: p.26,2022,"(Chevron, 2023) EHMP: Former Chevron Reheating Station.pdf",172,,157.9629636°W 21.3884450°N ,,-17584350.685,2438266.734
137,173,1-Methylnaphthalene,Polycyclic aromatic hydrocarbon (PAHs),Former Chevron Reheating Station: Waiau HECO Pipeline,Former Chevron Reheating Station: Waiau HECO Pipeline,Industrial ,1960-2012,Historic,Waiau,0.026 mg/kg,HDOH EAL: 0.0021 mg/kg,Surface Soil,Groundwater,Groundwater to East Loch,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potentially complete exposure pathways for construction workers engaged in subsurface disturbances (e.g., excavations) at the Site",,,,173,,157.9629636°W 21.3884450°N ,,-17584354.75,2438256.573
138,174,TPH-D,Hydrocarbon (petroleum),Former Chevron Reheating Station: Waiau HECO Pipeline,Former Chevron Reheating Station: Waiau HECO Pipeline,Industrial ,1960-2013,Historic,Waiau,4.05 mg/L,HDOH SWAL: 0.64 mg/L; AAHG: 2.5 mg/L,Groundwater,Groundwater,Groundwater to East Loch,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potentially complete exposure pathways for construction workers engaged in subsurface disturbances (e.g., excavations) at the Site",,,,174,,157.9629636°W 21.3884450°N ,,-17584344.589,2438254.541
139,175,Total PCBs,Chlorinated Hydrocarbon,HECO Generating Station,HECO Generating Station,Industrial,1930-2002,Contained,Waiau,7.2 mg/kg,HDOH EAL: 1 mg/kg,Soil,Groundwater,Groundwater to East Loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.",Area was remediated and capped with concrete. No apparent exposure pathway,Location: remediation plan doc. p.,,"Concentrations: (HECO, 2007) PCB Cleanup Email Records, Waiau Generating Station.pdf  Background on site/remediation plan: (HECO, 2002) DWP: PCB Cleanup Waiau Generating Station.pdf",175,,157.9624624°W 21.3878294°N ,,-17584302.928,2438189.51
140,176,TPH-Gasoline,Hydrocarbon (petroleum),406 Kamehameha Highway,406 Kamehameha Highway,Industrial,Undet-1990,"Historic, Contained",Waiau,"15,000 mg/kg",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Soil,Pearl Harbor Aquifer,,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Area capped with asphalt, no apparent exposure pathway",Location image: page 27. 406 Kamehameha Highway,2014,"(EAC Pacific, 2014) Subsurface soil and GW screening for TPH 406 kam hwy.pdf",176,,157.9569598°W 21.3885818°N ,,-17583687.838,2438278.108
141,177,TPH-Gasoline,Hydrocarbon (petroleum),406 Kamehameha Highway,406 Kamehameha Highway,Industrial,Undet-1990,"Historic, Contained",Waiau,"21,000 µg/L",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Groundwater,Pearl Harbor Aquifer,,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Area capped with asphalt, no apparent exposure pathway",,2014,,177,,157.9569598°W 21.3885818°N ,,-17583687.908,2438273.921
142,179,TPH-DRO,Hydrocarbon (petroleum),Kalauao Station of the Oʻahu railroad and Land Company,Kalauao Station of the Oʻahu railroad and Land Company,Industrial,1890s-1940s,Historic,Kalauao,"1,064 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,Site map p.27,2018,"(DPPTOD, 2018) Brownfields cleanup alt. report. Kalauao Station, 98-87 Kam Hwy.pdf",179,,157.9477774°W 21.3826851°N ,,-17582680.285,2437590.739
143,180,TPH-RRO,Hydrocarbon (petroleum),Kalauao Station of the Oʻahu railroad and Land Company,Kalauao Station of the Oʻahu railroad and Land Company,Industrial,1890s-1940s,Historic,Kalauao,542 mg/kg,"HDOH EAL: 500 µg/L; C/I: 1,000 µg/L",Soil,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,,,,180,,157.9477774°W 21.3826851°N ,,-17582695.403,2437576.695
144,181,Chromium,Heavy Metal,Kalauao Station of the Oʻahu railroad and Land Company,Kalauao Station of the Oʻahu railroad and Land Company,Industrial,1890s-1940s,Historic,Kalauao,22.4 µg/L,HDOH EAL: 11 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor."," Health effects vary with route of exposure. Respiratory effects seen with inhalation, gastrointestinal with ingestion, etc.  Hematological, immunological, and reproductive systems also identified as targets for chromium. Animal studies indicate that inhalation and oral exposures to chromium(VI) compounds are associated with respiratory and gastrointestinal system cancers",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,,,,181,,157.9477774°W 21.3826851°N ,,-17582667.84,2437572.454
145,182,Lead,Heavy Metal,Kalauao Station of the Oʻahu railroad and Land Company,Kalauao Station of the Oʻahu railroad and Land Company,Industrial,1890s-1940s,Historic,Kalauao,6.82 µg/L,HEER EAL: 5.6 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,,,,182,,157.9477774°W 21.3826851°N ,,-17582680.636,2437578.623
146,183,Mercury,Heavy Metal,Kalauao Station of the Oʻahu railroad and Land Company,Kalauao Station of the Oʻahu railroad and Land Company,Industrial,1890s-1940s,Historic,Kalauao,0.042 µg/L,HDOH EAL: 0.025 µg/L,Groundwater,"Drinking source groundwater, Directly into East Loch","The site borders the eastern loch of Pearl Harbor, the groundwater is expected to fluctuate with the tides but generally flows southwest toward the harbor.","Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.",Exposure pathways exist for both commercial operations and unauthorized trespassers. Potential future receptors include recreational users if the site is turned into open space (parkland) and construction workers during future earth-disturbing activities.,,,,183,,157.9477774°W 21.3826851°N ,,-17582683.126,2437572.932
147,184,TPH-G,Hydrocarbon (petroleum),98-121 Lipoa Pl,98-121 Lipoa Pl,Urban,1941-2005 (buildings removed),Historic,Kalauao,"2,400 mg/kg",HDOH EAL: 500 µg/L,Soil,"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Potential human health hazards may exist for future residential and future commercial/industrial receptors from direct contact with impacted subsurface soils,site map p.45,2012,"(Kamehameha Schools, 2012) EHMP 98-121 Lipoa Pl.pdf",184,,157.9462887°W 21.3818243°N ,,-17582496.528,2437469.438
148,185,Benzene,Volatile Organic Compound (VOCs),98-121 Lipoa Pl,98-121 Lipoa Pl,Urban,1941-2005 (buildings removed),Historic,Kalauao,8.58 mg/kg,HDOH EAL: 0.3 mg/kg,Soil,"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.",Potential human health hazards may exist for future residential and future commercial/industrial receptors from direct contact with impacted subsurface soils,,,,185,,157.9462887°W 21.3818243°N ,,-17582482.58,2437484.148
149,186,Ethylbenzene,Volatile Organic Compound (VOCs),98-121 Lipoa Pl,98-121 Lipoa Pl,Urban,1941-2005 (buildings removed),Historic,Kalauao,80 mg/kg,HDOH EAL: 3.7 mg/kg,Soil,"Groundwater, East Loch",Potential for groundwater be discharged to surface water in East Loch and impact aquatic resources," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ",Potential human health hazards may exist for future residential and future commercial/industrial receptors from direct contact with impacted subsurface soils,,,,186,,157.9462887°W 21.3818243°N ,,-17582486.924,2437477.976
150,187,TPH-G,Hydrocarbon (petroleum),98-151 Lipoa Place,98-151 Lipoa Place,Urban,1967-2007,Historic,Kalauao,"2,120 mg/kg",HDOH EAL: 500 µg/L,Soil,"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",site map p.45,2013,"(Kamehameha Schools, 2012) EHMP 98-151 Lipoa Pl.pdf",187,,157.9450260°W 21.3805585°N ,,-17582377.575,2437337.512
151,188,Benzene,Volatile Organic Compound (VOCs),98-151 Lipoa Place,98-151 Lipoa Place,Urban,1967-2007,"Historic, Contained",Kalauao,9.12 mg/kg,HDOH EAL: 0.3 mg/kg,Soil,"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site","Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",,,,188,,157.9450260°W 21.3805585°N ,,-17582365.058,2437346.068
152,189,Ethylbenzene,Volatile Organic Compound (VOCs),98-151 Lipoa Place,98-151 Lipoa Place,Urban,1967-2007,"Historic, Contained",Kalauao,83.8 mg/kg,HDOH EAL: 3.7 mg/kg,Soil,"Groundwater, East Loch","The Kalauao Springs Drainage Ditch discharges into East Loch, located directly south of the site"," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Potential receptors at this site may include future workers, residents, and construction workers (if subsurface soils are excavated and placed at ground surface).",,,,189,,157.9450260°W 21.3805585°N ,,-17582361.784,2437323.686
153,190,TPH-Oil,Hydrocarbon (petroleum),Sears Auto Center,Sears Auto Center,Urban,undet-2010,Historic,Kalauao,"4,900 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Groundwater,Waimalu and Kalauao Streams,Risk of transport though Waimalu and Kalauao Streams,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Low human receptor risk,"Note: near Sumida farms (across the street), also note: cleanup efforts have been taking place. This may not be fully representative of current values (most recent ",2012,"(URS, 2012) Semi-annual GW monitoring, Sears Auto Center 98-180 Kam Hwy.pdf",190,,157.9417933°W 21.3824981°N ,,-17582008.389,2437561.571
154,191,TPH-oil,Hydrocarbon (petroleum),Pali Momi Medical Center,Pali Momi Medical Center,Urban,undet-1994,Historic,Kalauao,560 mg/kg,"HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,Kalauao Stream & Springs,"Falls within waimalu aquifer, non drinking water","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Low human receptor risk,site map p.21,2012,"(ESI, 2012) Hydraulic Hoist Removal/Closure Assessment, 98-1005 Moanalua Rd.pdf",191,,157.9416715°W 21.3854199°N ,,-17581988.538,2437909.296
155,192,Chlordane,Organochlorine Pesticide,McGrew Point Naval Housing Area,McGrew Point Naval Housing Area,Residential/Commercial,1943-2004,"Historic, Contained",Kalauao,180 mg/kg,HDOH EAL: 23 mg/kg,Surface soil,"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues","Likely low human receptor risk, impacted soils covered and capped, however this is a residential and community area. Also right next to fish pond, potential for ingestion pathway if waterway is contaminated",site map p/ 133/134: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/821/location Navy McGrew Point Housing (ID 192-195).png,2007,"(OMC, 2007) Phase I ESA Update. McGrew Point Naval Housing.pdf",192,,157.9401829°W 21.3767967°N ,,-17581837.038,2436862.222
156,193,DDT,Organochlorine Pesticide,McGrew Point Naval Housing Area,McGrew Point Naval Housing Area,Residential/Commercial,1943-2004,"Historic, Contained",Kalauao,3.2 mg/kg,HDOH EAL: 1.8 mg/kg,Surface soil,"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",,,,,193,,157.9401829°W 21.3767967°N ,,-17581820.537,2436866.565
157,194,Heptachlor,Organochlorine Pesticide,McGrew Point Naval Housing Area,McGrew Point Naval Housing Area,Residential/Commercial,1943-2004,"Historic, Contained",Kalauao,5.5 mg/kg,HDOH EAL: 1.3  mg/kg,Surface soil,"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",,,,,194,,157.9401829°W 21.3767967°N ,,-17581832.696,2436876.986
158,197,TPH-Diesel,Hydrocarbon (petroleum),Hālawa Aloha Stadium HART Station,Hālawa Aloha Stadium HART Station,Residential/Commerical,undet.,Historic,Hālawa,"4,100 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface soil,"East Loch, 'Aiea Bay","Borders East Loch, possible leaching to groundwater","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Improvements planned to cap contaminated soil, until then complete exposure pathway exists. Possible leaching to groundwater",Aloha stadium: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2827/location HART Aloha Stadium removed UST (ID 197).png,2018,"(HART, 2019) EHE, EHMP Aloha Stadium UST Removal.pdf",197,,157.9339350°W 21.3710764°N ,,-17581129.512,2436188.984
159,198,Benzene,Volatile Organic Compound (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,7.7 mg/kg,HDOH EAL: 0.3 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",Water pump station: p. 39,2005,"(USAED, 2005) AST/UST Removal Report Former Aiea Military Reservation.pdf",198,,157.9337323°W 21.3750786°N ,,-17581098.35,2436660.9
160,199,Toluene,Volatile Organic Compound (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,33 mg/kg,HDOH EAL: 0.78 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Additive in fuel. Most exposure effects are observed from inhalation of toluene vapor. These include CNS depression, tremors, cerebral atrophy, drowsiness, etc. Mild effects on kidneys and liver.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,199,,157.9337323°W 21.3750786°N ,,-17581090.208,2436683.969
161,200,Xylenes,Volatile Organic Compound (VOCs),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,50 mg/kg,HDOH EAL: 1.4 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,200,,157.9337323°W 21.3750786°N ,,-17581113.276,2436614.763
162,201,TPH-Gasoline,Hydrocarbon (petroleum),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,"4,100 mg/kg",HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,201,,157.9337323°W 21.3750786°N ,,-17581095.636,2436635.117
163,202,Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbons,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,3.6 mg/kg,HDOH EAL: 3.6 mg/kg; C/I: 5.9 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Located at end of Pearl Harbor bike path, potential exposure throµgh drinking water",,,,202,,157.9337323°W 21.3750786°N ,,-17581080.709,2436658.186
164,203,TPH-Oil,Hydrocarbon (petroleum),Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,690 mg/kg,"HDOH EAL: 500; C/I: 1,000 mg/kg",Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure throµgh drinking water",,,,203,,157.9337323°W 21.3750786°N ,,-17581098.35,2436617.477
165,204,Lead,Heavy Metal,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,425 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg ,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,204,,157.9337323°W 21.3750786°N ,,-17581106.491,2436685.326
166,205,Polychlorinated Biphenyls,Chlorinated Hydrocarbon,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,2.8 mg/kg,HDOH EAL: 1 mg/kg; C/I: 8.6 mg/kg,Surface soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,205,,157.9337323°W 21.3750786°N ,,-17581086.137,2436704.324
167,206,TPH-DRO,Hydrocarbon (petroleum),Former ʻAiea Military Reservation,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,820 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",Site location p.21,2015,"(USACE, 2015) Remedial Action Report Former Aiea Military Reservation.pdf",206,,157.9334870°W 21.3755156°N ,,-17581088.851,2436716.536
168,207,TPH-RRO,Hydrocarbon (petroleum),Former ʻAiea Military Reservation,Former ʻAiea Military Reservation; Former ʻAiea Water Pumping Station; ʻAiea Pumping Plant,Military/Industrial,1924-2005,Historic,Hālawa,"1,500 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",,,,207,,157.9334870°W 21.3755156°N ,,-17581075.917,2436717.021
169,208,TPH-Diesel,Hydrocarbon (petroleum),Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,"34,000 µg/L",HDOH EAL: 640 µg/L (unrestricted),Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","New apartment building, potential pathway to residents if contamination improperly contained",Site location p.20,2023,"(DOH, 2023) EHE Halawa View Apts.pdf",208,,157.9365163°W 21.3649811°N ,,-17581436.881,2435478.089
170,209,1-Methylnaphthalene,Polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,3.0 µg/L,HDOH EAL: 2.1 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","New apartment building, potential pathway to residents if contamination improperly contained",,,,209,,157.9365163°W 21.3649811°N ,,-17581419.651,2435476.977
